date,count,package
2022-09-17,70497,ggplot2
2022-09-18,72164,ggplot2
2022-09-19,103320,ggplot2
2022-09-20,107545,ggplot2
2022-09-21,109390,ggplot2
2022-09-22,109070,ggplot2
2022-09-23,98511,ggplot2
2022-09-24,74601,ggplot2
2022-09-25,76670,ggplot2
2022-09-26,106791,ggplot2
2022-09-27,112607,ggplot2
2022-09-28,107884,ggplot2
2022-09-29,107122,ggplot2
2022-09-30,97428,ggplot2
2022-10-01,73344,ggplot2
2022-10-02,73483,ggplot2
2022-10-03,104208,ggplot2
2022-10-04,107484,ggplot2
2022-10-05,109480,ggplot2
2022-10-06,107124,ggplot2
2022-10-07,98837,ggplot2
2022-10-08,76671,ggplot2
2022-10-09,77159,ggplot2
2022-10-10,103694,ggplot2
2022-10-11,109358,ggplot2
2022-10-12,105299,ggplot2
2022-10-13,103095,ggplot2
2022-10-14,94470,ggplot2
2022-10-15,74162,ggplot2
2022-10-16,73918,ggplot2
2022-01-01,14696,lubridate
2022-01-02,16754,lubridate
2022-01-03,27066,lubridate
2022-01-04,30582,lubridate
2022-01-05,32149,lubridate
2022-01-06,30592,lubridate
2022-01-07,29345,lubridate
2022-01-08,18840,lubridate
2022-01-09,19206,lubridate
2022-01-10,33591,lubridate
2022-01-11,35937,lubridate
2022-01-12,34921,lubridate
2022-01-13,34042,lubridate
2022-01-14,31393,lubridate
2022-01-15,19605,lubridate
2022-01-16,19239,lubridate
2022-01-17,30463,lubridate
2022-01-18,35757,lubridate
2022-01-19,36300,lubridate
2022-01-20,35645,lubridate
2022-01-21,31821,lubridate
2022-01-22,20307,lubridate
2022-01-23,20159,lubridate
2022-01-24,35446,lubridate
2022-01-25,34913,lubridate
2022-01-26,34160,lubridate
2022-01-27,32367,lubridate
2022-01-28,29200,lubridate
2022-01-29,17808,lubridate
2022-01-30,18463,lubridate
2022-01-31,31084,lubridate
2022-02-01,33669,lubridate
2022-02-02,33512,lubridate
2022-02-03,31712,lubridate
2022-02-04,28547,lubridate
2022-02-05,17763,lubridate
2022-02-06,17203,lubridate
2022-02-07,32508,lubridate
2022-02-08,33729,lubridate
2022-02-09,33664,lubridate
2022-02-10,32528,lubridate
2022-02-11,28214,lubridate
2022-02-12,17623,lubridate
2022-02-13,17578,lubridate
2022-02-14,30481,lubridate
2022-02-15,32257,lubridate
2022-02-16,31928,lubridate
2022-02-17,29542,lubridate
2022-02-18,27054,lubridate
2022-02-19,17162,lubridate
2022-02-20,17442,lubridate
2022-02-21,28743,lubridate
2022-02-22,31004,lubridate
2022-02-23,32467,lubridate
2022-02-24,29350,lubridate
2022-02-25,26797,lubridate
2022-02-26,17811,lubridate
2022-02-27,18104,lubridate
2022-02-28,28656,lubridate
2022-03-01,31691,lubridate
2022-03-02,31737,lubridate
2022-03-03,31267,lubridate
2022-03-04,30860,lubridate
2022-03-05,19989,lubridate
2022-03-06,20016,lubridate
2022-03-07,31366,lubridate
2022-03-08,31942,lubridate
2022-03-09,30254,lubridate
2022-03-10,31310,lubridate
2022-03-11,NA,lubridate
2022-03-12,17839,lubridate
2022-03-13,18193,lubridate
2022-03-14,31056,lubridate
2022-03-15,31914,lubridate
2022-03-16,32474,lubridate
2022-03-17,30464,lubridate
2022-03-18,27754,lubridate
2022-03-19,19187,lubridate
2022-03-20,19521,lubridate
2022-03-21,32853,lubridate
2022-03-22,32221,lubridate
2022-03-23,32530,lubridate
2022-03-24,30309,lubridate
2022-03-25,26725,lubridate
2022-03-26,18302,lubridate
2022-03-27,18494,lubridate
2022-03-28,31198,lubridate
2022-03-29,32808,lubridate
2022-03-30,32569,lubridate
2022-03-31,31812,lubridate
2022-04-01,28064,lubridate
2022-04-02,19163,lubridate
2022-04-03,NA,lubridate
2022-04-04,30112,lubridate
2022-04-05,32448,lubridate
2022-04-06,31179,lubridate
2022-04-07,31415,lubridate
2022-04-08,27625,lubridate
2022-04-09,18939,lubridate
2022-04-10,18938,lubridate
2022-04-11,30323,lubridate
2022-04-12,31280,lubridate
2022-04-13,30223,lubridate
2022-04-14,30194,lubridate
2022-04-15,24021,lubridate
2022-04-16,19518,lubridate
2022-04-17,19922,lubridate
2022-04-18,28956,lubridate
2022-04-19,33940,lubridate
2022-04-20,35375,lubridate
2022-04-21,35579,lubridate
2022-04-22,31676,lubridate
2022-04-23,21020,lubridate
2022-04-24,22402,lubridate
2022-04-25,34851,lubridate
2022-04-26,38869,lubridate
2022-04-27,37112,lubridate
2022-04-28,36764,lubridate
